1576080345639 2019_12_11_10_05_45_639 2.734449 0.478300  0.000014786
2019_12_11_10_05_55_294 1576080355294 9655 9631 635 312.417  
2019_12_11_10_05_55_310 1576080355310 9671 9647 201 99.4701  
2019_12_11_10_05_55_345 1576080355345 9706 9682 189 93.6613  
2019_12_11_10_05_55_368 1576080355368 9729 9705 546 268.294  
2019_12_11_10_05_55_398 1576080355398 9759 9735 303 149.017  
2019_12_11_10_05_55_416 1576080355416 9777 9753 653 321.369  
2019_12_11_10_05_55_460 1576080355460 9821 9796 1286 642.281  
2019_12_11_10_05_55_462 1576080355462 9823 9798 342 168.042  
2019_12_11_10_05_55_515 1576080355515 9876 9851 1406 704.453  
2019_12_11_10_05_55_578 1576080355578 9939 9914 737 363.273  
2019_12_11_10_05_55_606 1576080355606 9967 9942 234 115.466  
2019_12_11_10_05_55_610 1576080355610 9971 9946 483 237.203  
2019_12_11_10_05_55_614 1576080355614 9975 9950 1243 620.106  
2019_12_11_10_05_55_651 1576080355651 10012 9987 1366 683.682  
2019_12_11_10_05_55_668 1576080355668 10029 10004 189 93.6613  
2019_12_11_10_05_55_670 1576080355670 10031 10006 273 134.412  
2019_12_11_10_05_55_711 1576080355711 10072 10047 187 92.6936  
2019_12_11_10_05_55_789 1576080355789 10150 10125 725 357.274  
2019_12_11_10_05_55_826 1576080355826 10187 10162 450 220.964  
2019_12_11_10_05_55_841 1576080355841 10202 10177 375 184.176  
2019_12_11_10_05_55_854 1576080355854 10215 10190 189 93.6613  
2019_12_11_10_05_55_855 1576080355855 10216 10191 249 122.748  
2019_12_11_10_05_55_874 1576080355874 10235 10210 377 185.155  
2019_12_11_10_05_55_899 1576080355899 10260 10235 773 381.295  
2019_12_11_10_05_55_901 1576080355901 10262 10236 149 74.3294  
2019_12_11_10_05_55_928 1576080355928 10289 10263 190 94.1452  
2019_12_11_10_05_55_930 1576080355930 10291 10265 4095 2209.31  
2019_12_11_10_05_55_941 1576080355941 10302 10276 565 277.694  
2019_12_11_10_05_56_003 1576080356003 10364 10338 1293 645.896  
2019_12_11_10_05_56_011 1576080356011 10372 10346 408 200.342  
2019_12_11_10_05_56_014 1576080356014 10375 10349 506 248.54  
2019_12_11_10_05_56_029 1576080356029 10390 10364 361 177.328  
2019_12_11_10_05_56_041 1576080356041 10402 10376 244 120.32  
2019_12_11_10_05_56_076 1576080356076 10437 10411 174 86.4063  
2019_12_11_10_05_56_135 1576080356135 10496 10470 102 51.6749  
2019_12_11_10_05_56_175 1576080356175 10536 10510 733 361.273  
2019_12_11_10_05_56_177 1576080356177 10538 10512 624 306.951  
2019_12_11_10_05_56_193 1576080356193 10554 10528 456 223.914  
2019_12_11_10_05_56_194 1576080356194 10555 10529 450 220.964  
2019_12_11_10_05_56_450 1576080356450 10811 10785 244 120.32  
2019_12_11_10_05_56_451 1576080356451 10812 10786 179 88.8239  
2019_12_11_10_05_56_452 1576080356452 10813 10786 117 58.898  
2019_12_11_10_05_56_452 1576080356452 10813 10786 250 123.234  
2019_12_11_10_05_56_452 1576080356452 10813 10786 806 397.85  
2019_12_11_10_05_56_452 1576080356452 10813 10786 884 437.106  
2019_12_11_10_05_56_452 1576080356452 10813 10786 209 103.345  
2019_12_11_10_05_56_452 1576080356452 10813 10786 731 360.273  
2019_12_11_10_05_56_453 1576080356453 10814 10787 177 87.8568  
2019_12_11_10_05_56_453 1576080356453 10814 10787 592 291.07  
2019_12_11_10_05_56_453 1576080356453 10814 10787 753 371.278  
2019_12_11_10_05_56_456 1576080356456 10817 10790 1361 681.089  
2019_12_11_10_05_56_478 1576080356478 10839 10812 159 79.1579  
2019_12_11_10_05_56_479 1576080356479 10840 10813 143 71.4337  
2019_12_11_10_05_56_495 1576080356495 10856 10829 345 169.508  
2019_12_11_10_05_56_502 1576080356502 10863 10836 1317 658.301  
2019_12_11_10_05_56_562 1576080356562 10923 10896 105 53.119  
2019_12_11_10_05_56_572 1576080356572 10933 10906 560 275.219  
2019_12_11_10_05_56_627 1576080356627 10988 10961 1366 683.682  
2019_12_11_10_05_56_658 1576080356658 11019 10991 1332 666.063  
2019_12_11_10_05_56_686 1576080356686 11047 11019 217 107.222  
2019_12_11_10_05_56_738 1576080356738 11099 11071 1075 533.994  
2019_12_11_10_05_56_756 1576080356756 11117 11089 89 45.4203  
2019_12_11_10_05_56_769 1576080356769 11130 11102 176 87.3733  
2019_12_11_10_05_56_775 1576080356775 11136 11108 342 168.042  
2019_12_11_10_05_56_801 1576080356801 11162 11134 191 94.6291  
2019_12_11_10_05_56_866 1576080356866 11227 11199 486 238.681  
2019_12_11_10_05_56_890 1576080356890 11251 11223 448 219.98  
2019_12_11_10_05_56_891 1576080356891 11252 11224 177 87.8568  
2019_12_11_10_05_56_899 1576080356899 11260 11232 294 144.633  
2019_12_11_10_05_56_907 1576080356907 11268 11240 204 100.923  
2019_12_11_10_05_56_942 1576080356942 11303 11275 303 149.017  
2019_12_11_10_05_56_949 1576080356949 11310 11282 485 238.188  
2019_12_11_10_05_56_976 1576080356976 11337 11309 340 167.066  
2019_12_11_10_05_57_018 1576080357018 11379 11351 589 289.583  
2019_12_11_10_05_57_041 1576080357041 11402 11374 389 191.031  
2019_12_11_10_05_57_102 1576080357102 11463 11434 253 124.691  
2019_12_11_10_05_57_138 1576080357138 11499 11470 381 187.113  
2019_12_11_10_05_57_142 1576080357142 11503 11474 421 206.719  
2019_12_11_10_05_57_161 1576080357161 11522 11493 1008 499.884  
2019_12_11_10_05_57_213 1576080357213 11574 11545 571 280.664  
2019_12_11_10_05_57_232 1576080357232 11593 11564 380 186.624  
2019_12_11_10_05_57_247 1576080357247 11608 11579 201 99.4701  
2019_12_11_10_05_57_341 1576080357341 11702 11673 382 187.603  
2019_12_11_10_05_57_346 1576080357346 11707 11678 1997 1016.87  
2019_12_11_10_05_57_446 1576080357446 11807 11778 512 251.5  
2019_12_11_10_05_57_447 1576080357447 11808 11779 252 124.205  
2019_12_11_10_05_57_460 1576080357460 11821 11792 293 144.146  
2019_12_11_10_05_57_475 1576080357475 11836 11807 464 227.849  
2019_12_11_10_05_57_476 1576080357476 11837 11808 389 191.031  
2019_12_11_10_05_57_530 1576080357530 11891 11862 232 114.496  
2019_12_11_10_05_57_550 1576080357550 11911 11882 118 59.3797  
2019_12_11_10_05_57_595 1576080357595 11956 11927 447 219.489  
2019_12_11_10_05_57_599 1576080357599 11960 11930 514 252.487  
2019_12_11_10_05_57_790 1576080357790 12151 12121 433 212.611  
2019_12_11_10_05_57_835 1576080357835 12196 12166 531 260.881  
2019_12_11_10_05_57_840 1576080357840 12201 12171 1384 693.023  
2019_12_11_10_05_57_846 1576080357846 12207 12177 164 81.5733  
2019_12_11_10_05_57_857 1576080357857 12218 12188 382 187.603  
2019_12_11_10_05_57_871 1576080357871 12232 12202 246 121.291  
2019_12_11_10_05_57_892 1576080357892 12253 12223 128 64.1991  
2019_12_11_10_05_57_904 1576080357904 12265 12235 201 99.4701  
2019_12_11_10_05_57_926 1576080357926 12287 12257 121 60.8252  
2019_12_11_10_05_57_984 1576080357984 12345 12315 529 259.893  
2019_12_11_10_05_57_992 1576080357992 12353 12323 268 131.981  
2019_12_11_10_05_58_025 1576080358025 12386 12356 399 195.93  
2019_12_11_10_05_58_026 1576080358026 12387 12357 399 195.93  
2019_12_11_10_05_58_065 1576080358065 12426 12396 125 62.753  
2019_12_11_10_05_58_089 1576080358089 12450 12420 117 58.898  
2019_12_11_10_05_58_093 1576080358093 12454 12424 1447 725.793  
2019_12_11_10_05_58_155 1576080358155 12516 12486 208 102.861  
2019_12_11_10_05_58_171 1576080358171 12532 12501 496 243.609  
2019_12_11_10_05_58_172 1576080358172 12533 12502 60 31.4857  
2019_12_11_10_05_58_176 1576080358176 12537 12506 209 103.345  
2019_12_11_10_05_58_179 1576080358179 12540 12509 1380 690.946  
2019_12_11_10_05_58_184 1576080358184 12545 12514 939 464.895  
2019_12_11_10_05_58_194 1576080358194 12555 12524 489 240.159  
2019_12_11_10_05_58_218 1576080358218 12579 12548 181 89.7911  
2019_12_11_10_05_58_498 1576080358498 12859 12828 287 141.224  
2019_12_11_10_05_58_499 1576080358499 12860 12829 195 96.5652  
2019_12_11_10_05_58_500 1576080358500 12861 12830 134 67.0921  
2019_12_11_10_05_58_500 1576080358500 12861 12830 485 238.188  
2019_12_11_10_05_58_500 1576080358500 12861 12830 829 409.406  
2019_12_11_10_05_58_504 1576080358504 12865 12834 431 211.628  
2019_12_11_10_05_58_561 1576080358561 12922 12891 184 91.2422  
2019_12_11_10_05_58_567 1576080358567 12928 12897 76 39.1707  
2019_12_11_10_05_58_572 1576080358572 12933 12902 814 401.868  
2019_12_11_10_05_58_615 1576080358615 12976 12945 227 112.07  
2019_12_11_10_05_58_622 1576080358622 12983 12951 1338 669.17  
2019_12_11_10_05_58_659 1576080358659 13020 12988 123 61.789  
2019_12_11_10_05_58_724 1576080358724 13085 13053 105 53.119  
2019_12_11_10_05_58_739 1576080358739 13100 13068 1336 668.134  
2019_12_11_10_05_58_763 1576080358763 13124 13092 250 123.234  
2019_12_11_10_05_58_875 1576080358875 13236 13204 572 281.16  
2019_12_11_10_05_58_880 1576080358880 13241 13209 168 83.5062  
2019_12_11_10_05_58_889 1576080358889 13250 13218 401 196.91  
2019_12_11_10_05_58_906 1576080358906 13267 13235 840 414.939  
2019_12_11_10_05_58_975 1576080358975 13336 13304 232 114.496  
2019_12_11_10_05_58_976 1576080358976 13337 13305 360 176.839  
2019_12_11_10_05_59_014 1576080359014 13375 13343 429 210.646  
2019_12_11_10_05_59_020 1576080359020 13381 13349 1290 644.346  
2019_12_11_10_05_59_076 1576080359076 13437 13405 4095 2209.31  
2019_12_11_10_05_59_095 1576080359095 13456 13424 1152 573.358  
2019_12_11_10_05_59_097 1576080359097 13458 13426 320 157.305  
2019_12_11_10_05_59_108 1576080359108 13469 13437 1042 517.177  
2019_12_11_10_05_59_109 1576080359109 13470 13437 601 295.533  
2019_12_11_10_05_59_182 1576080359182 13543 13510 539 264.834  
2019_12_11_10_05_59_184 1576080359184 13545 13512 4095 2209.31  
2019_12_11_10_05_59_230 1576080359230 13591 13558 1364 682.644  
2019_12_11_10_05_59_255 1576080359255 13616 13583 301 148.042  
2019_12_11_10_05_59_303 1576080359303 13664 13631 446 218.997  
2019_12_11_10_05_59_328 1576080359328 13689 13656 223 110.131  
2019_12_11_10_05_59_382 1576080359382 13743 13710 404 198.381  
2019_12_11_10_05_59_424 1576080359424 13785 13752 441 216.54  
2019_12_11_10_05_59_453 1576080359453 13814 13781 709 349.282  
2019_12_11_10_05_59_454 1576080359454 13815 13782 1908 969.158  
2019_12_11_10_05_59_460 1576080359460 13821 13788 636 312.914  
2019_12_11_10_05_59_461 1576080359461 13822 13789 1642 827.968  
2019_12_11_10_05_59_466 1576080359466 13827 13794 2804 1460.14  
2019_12_11_10_05_59_593 1576080359593 13954 13921 1082 537.565  
2019_12_11_10_05_59_601 1576080359601 13962 13929 296 145.607  
2019_12_11_10_05_59_602 1576080359602 13963 13930 293 144.146  
2019_12_11_10_05_59_603 1576080359603 13964 13930 590 290.078  
2019_12_11_10_05_59_615 1576080359615 13976 13942 149 74.3294  
2019_12_11_10_05_59_636 1576080359636 13997 13963 110 55.5264  
2019_12_11_10_05_59_694 1576080359694 14055 14021 2474 1276.55  
2019_12_11_10_05_59_769 1576080359769 14130 14096 360 176.839  
2019_12_11_10_05_59_770 1576080359770 14131 14097 1684 850.122  
2019_12_11_10_05_59_820 1576080359820 14181 14147 261 128.578  
2019_12_11_10_05_59_837 1576080359837 14198 14164 180 89.3075  
2019_12_11_10_05_59_898 1576080359898 14259 14225 211 104.314  
2019_12_11_10_05_59_908 1576080359908 14269 14235 205 101.407  
2019_12_11_10_05_59_961 1576080359961 14322 14288 81 41.5738  
2019_12_11_10_05_59_976 1576080359976 14337 14303 245 120.805  
2019_12_11_10_05_59_987 1576080359987 14348 14314 172 85.4395  
2019_12_11_10_06_00_030 1576080360030 14391 14357 158 78.675  
2019_12_11_10_06_00_067 1576080360067 14428 14394 749 369.276  
2019_12_11_10_06_00_123 1576080360123 14484 14450 103 52.1562  
2019_12_11_10_06_00_139 1576080360139 14500 14466 493 242.13  
2019_12_11_10_06_00_144 1576080360144 14505 14470 571 280.664  
2019_12_11_10_06_00_192 1576080360192 14553 14518 184 91.2422  
2019_12_11_10_06_00_201 1576080360201 14562 14527 121 60.8252  
2019_12_11_10_06_00_247 1576080360247 14608 14573 179 88.8239  
2019_12_11_10_06_00_262 1576080360262 14623 14588 85 43.4968  
2019_12_11_10_06_00_287 1576080360287 14648 14613 143 71.4337  
2019_12_11_10_06_00_546 1576080360546 14907 14872 879 434.584  
2019_12_11_10_06_00_547 1576080360547 14908 14873 325 159.744  
2019_12_11_10_06_00_548 1576080360548 14909 14874 215 106.252  
2019_12_11_10_06_00_548 1576080360548 14909 14874 224 110.616  
2019_12_11_10_06_00_548 1576080360548 14909 14874 114 57.4528  
2019_12_11_10_06_00_548 1576080360548 14909 14874 162 80.6071  
2019_12_11_10_06_00_548 1576080360548 14909 14874 123 61.789  
2019_12_11_10_06_00_548 1576080360548 14909 14874 123 61.789  
2019_12_11_10_06_00_548 1576080360548 14909 14874 324 159.256  
2019_12_11_10_06_00_548 1576080360548 14909 14874 133 66.6099  
2019_12_11_10_06_00_599 1576080360599 14960 14925 370 181.73  
2019_12_11_10_06_00_660 1576080360660 15021 14986 620 304.964  
2019_12_11_10_06_00_833 1576080360833 15194 15158 92 46.8632  
2019_12_11_10_06_00_874 1576080360874 15235 15199 939 464.895  
2019_12_11_10_06_00_914 1576080360914 15275 15239 909 449.726  
2019_12_11_10_06_00_936 1576080360936 15297 15261 183 90.7585  
2019_12_11_10_06_00_986 1576080360986 15347 15311 3468 1839.31  
2019_12_11_10_06_01_000 1576080361000 15361 15325 465 228.341  
2019_12_11_10_06_01_010 1576080361010 15371 15335 267 131.495  
2019_12_11_10_06_01_025 1576080361025 15386 15350 145 72.3988  
2019_12_11_10_06_01_048 1576080361048 15409 15373 2890 1508.51  
2019_12_11_10_06_01_088 1576080361088 15449 15413 134 67.0921  
2019_12_11_10_06_01_120 1576080361120 15481 15445 213 105.283  
2019_12_11_10_06_01_128 1576080361128 15489 15453 1613 812.701  
2019_12_11_10_06_01_172 1576080361172 15533 15497 263 129.55  
2019_12_11_10_06_01_181 1576080361181 15542 15506 362 177.817  
2019_12_11_10_06_01_195 1576080361195 15556 15520 200 98.9859  
2019_12_11_10_06_01_213 1576080361213 15574 15538 510 250.513  
2019_12_11_10_06_01_264 1576080361264 15625 15589 261 128.578  
2019_12_11_10_06_01_320 1576080361320 15681 15644 341 167.554  
2019_12_11_10_06_01_322 1576080361322 15683 15646 93 47.3442  
2019_12_11_10_06_01_338 1576080361338 15699 15662 373 183.197  
2019_12_11_10_06_01_364 1576080361364 15725 15688 219 108.191  
2019_12_11_10_06_01_399 1576080361399 15760 15723 159 79.1579  
2019_12_11_10_06_01_404 1576080361404 15765 15728 336 165.112  
2019_12_11_10_06_01_432 1576080361432 15793 15756 467 229.325  
2019_12_11_10_06_01_443 1576080361443 15804 15767 333 163.648  
2019_12_11_10_06_01_473 1576080361473 15834 15797 136 68.0567  
2019_12_11_10_06_01_497 1576080361497 15858 15821 351 172.439  
2019_12_11_10_06_01_505 1576080361505 15866 15829 472 231.786  
2019_12_11_10_06_01_570 1576080361570 15931 15894 339 166.577  
2019_12_11_10_06_01_596 1576080361596 15957 15920 877 433.576  
2019_12_11_10_06_01_623 1576080361623 15984 15947 523 256.93  
2019_12_11_10_06_01_628 1576080361628 15989 15952 306 150.479  
2019_12_11_10_06_01_663 1576080361663 16024 15987 348 170.973  
2019_12_11_10_06_01_693 1576080361693 16054 16017 114 57.4528  
2019_12_11_10_06_01_716 1576080361716 16077 16039 742 365.774  
2019_12_11_10_06_01_771 1576080361771 16132 16094 169 83.9894  
2019_12_11_10_06_01_803 1576080361803 16164 16126 259 127.606  
2019_12_11_10_06_01_829 1576080361829 16190 16152 413 202.794  
2019_12_11_10_06_01_849 1576080361849 16210 16172 221 109.161  
2019_12_11_10_06_01_873 1576080361873 16234 16196 700 344.789  
2019_12_11_10_06_01_874 1576080361874 16235 16197 147 73.3641  
2019_12_11_10_06_01_889 1576080361889 16250 16212 1259 628.351  
2019_12_11_10_06_01_913 1576080361913 16274 16236 566 278.189  
2019_12_11_10_06_02_001 1576080362001 16362 16324 571 280.664  
2019_12_11_10_06_02_016 1576080362016 16377 16339 229 113.041  
2019_12_11_10_06_02_027 1576080362027 16388 16350 148 73.8467  
2019_12_11_10_06_02_091 1576080362091 16452 16414 709 349.282  
2019_12_11_10_06_02_116 1576080362116 16477 16439 553 271.756  
2019_12_11_10_06_02_125 1576080362125 16486 16448 594 292.062  
2019_12_11_10_06_02_159 1576080362159 16520 16482 320 157.305  
2019_12_11_10_06_02_218 1576080362218 16579 16541 155 77.2262  
2019_12_11_10_06_02_233 1576080362233 16594 16555 203 100.439  
2019_12_11_10_06_02_234 1576080362234 16595 16556 184 91.2422  
2019_12_11_10_06_02_247 1576080362247 16608 16569 448 219.98  
2019_12_11_10_06_02_285 1576080362285 16646 16607 1296 647.446  
2019_12_11_10_06_02_304 1576080362304 16665 16626 327 160.72  
2019_12_11_10_06_02_305 1576080362305 16666 16627 172 85.4395  
2019_12_11_10_06_02_312 1576080362312 16673 16634 257 126.634  
2019_12_11_10_06_02_319 1576080362319 16680 16641 156 77.7091  
2019_12_11_10_06_02_324 1576080362324 16685 16646 262 129.064  
2019_12_11_10_06_02_329 1576080362329 16690 16651 358 175.861  
2019_12_11_10_06_02_594 1576080362594 16955 16916 457 224.406  
2019_12_11_10_06_02_595 1576080362595 16956 16917 362 177.817  
2019_12_11_10_06_02_595 1576080362595 16956 16917 490 240.651  
2019_12_11_10_06_02_596 1576080362596 16957 16918 1203 599.527  
2019_12_11_10_06_02_596 1576080362596 16957 16918 126 63.235  
2019_12_11_10_06_02_596 1576080362596 16957 16918 4095 2209.31  
2019_12_11_10_06_02_596 1576080362596 16957 16918 1016 503.95  
2019_12_11_10_06_02_596 1576080362596 16957 16917 166 82.5397  
2019_12_11_10_06_02_596 1576080362596 16957 16917 283 139.278  
2019_12_11_10_06_02_596 1576080362596 16957 16917 582 286.113  
2019_12_11_10_06_02_622 1576080362622 16983 16943 116 58.4162  
2019_12_11_10_06_02_639 1576080362639 17000 16960 434 213.102  
2019_12_11_10_06_02_645 1576080362645 17006 16966 280 137.818  
2019_12_11_10_06_02_656 1576080362656 17017 16977 253 124.691  
2019_12_11_10_06_02_662 1576080362662 17023 16983 208 102.861  
2019_12_11_10_06_02_663 1576080362663 17024 16984 195 96.5652  
2019_12_11_10_06_02_684 1576080362684 17045 17005 191 94.6291  
2019_12_11_10_06_02_719 1576080362719 17080 17040 217 107.222  
2019_12_11_10_06_02_735 1576080362735 17096 17056 440 216.049  
2019_12_11_10_06_02_749 1576080362749 17110 17070 174 86.4063  
2019_12_11_10_06_02_752 1576080362752 17113 17073 506 248.54  
2019_12_11_10_06_02_754 1576080362754 17115 17075 254 125.177  
2019_12_11_10_06_02_776 1576080362776 17137 17097 204 100.923  
2019_12_11_10_06_02_810 1576080362810 17171 17131 189 93.6613  
2019_12_11_10_06_02_819 1576080362819 17180 17140 700 344.789  
2019_12_11_10_06_02_827 1576080362827 17188 17147 184 91.2422  
2019_12_11_10_06_02_908 1576080362908 17269 17228 632 310.926  
2019_12_11_10_06_02_913 1576080362913 17274 17233 4095 2209.31  
2019_12_11_10_06_02_914 1576080362914 17275 17234 747 368.275  
2019_12_11_10_06_02_942 1576080362942 17303 17262 203 100.439  
2019_12_11_10_06_02_957 1576080362957 17318 17277 1204 600.041  
2019_12_11_10_06_03_005 1576080363005 17366 17325 792 390.823  
2019_12_11_10_06_03_016 1576080363016 17377 17336 250 123.234  
2019_12_11_10_06_03_023 1576080363023 17384 17343 257 126.634  
2019_12_11_10_06_03_054 1576080363054 17415 17374 164 81.5733  
2019_12_11_10_06_03_069 1576080363069 17430 17389 318 156.329  
2019_12_11_10_06_03_146 1576080363146 17507 17466 508 249.527  
2019_12_11_10_06_03_162 1576080363162 17523 17482 183 90.7585  
2019_12_11_10_06_03_234 1576080363234 17595 17554 182 90.2748  
2019_12_11_10_06_03_238 1576080363238 17599 17558 430 211.137  
2019_12_11_10_06_03_274 1576080363274 17635 17594 186 92.2098  
2019_12_11_10_06_03_289 1576080363289 17650 17609 214 105.768  
2019_12_11_10_06_03_311 1576080363311 17672 17630 377 185.155  
2019_12_11_10_06_03_331 1576080363331 17692 17650 4095 2209.31  
2019_12_11_10_06_03_352 1576080363352 17713 17671 4095 2209.31  
2019_12_11_10_06_03_367 1576080363367 17728 17686 364 178.795  
2019_12_11_10_06_03_369 1576080363369 17730 17688 66 34.3667  
2019_12_11_10_06_03_378 1576080363378 17739 17697 206 101.892  
2019_12_11_10_06_03_412 1576080363412 17773 17731 898 444.171  
2019_12_11_10_06_03_443 1576080363443 17804 17762 542 266.317  
2019_12_11_10_06_03_461 1576080363461 17822 17780 334 164.136  
2019_12_11_10_06_03_480 1576080363480 17841 17799 1551 780.146  
2019_12_11_10_06_03_498 1576080363498 17859 17817 204 100.923  
2019_12_11_10_06_03_513 1576080363513 17874 17832 423 207.701  
2019_12_11_10_06_03_558 1576080363558 17919 17877 182 90.2748  
2019_12_11_10_06_03_578 1576080363578 17939 17897 331 162.672  
2019_12_11_10_06_03_579 1576080363579 17940 17898 164 81.5733  
2019_12_11_10_06_03_610 1576080363610 17971 17929 192 95.1131  
2019_12_11_10_06_03_617 1576080363617 17978 17936 887 438.619  
2019_12_11_10_06_03_622 1576080363622 17983 17940 353 173.417  
2019_12_11_10_06_03_639 1576080363639 18000 17957 264 130.036  
2019_12_11_10_06_03_641 1576080363641 18002 17959 214 105.768  
2019_12_11_10_06_03_654 1576080363654 18015 17972 321 157.792  
2019_12_11_10_06_03_674 1576080363674 18035 17992 1585 797.985  
2019_12_11_10_06_03_709 1576080363709 18070 18027 430 211.137  
2019_12_11_10_06_03_731 1576080363731 18092 18049 346 169.996  
2019_12_11_10_06_03_737 1576080363737 18098 18055 1772 896.709  
2019_12_11_10_06_03_752 1576080363752 18113 18070 179 88.8239  
2019_12_11_10_06_03_795 1576080363795 18156 18113 249 122.748  
2019_12_11_10_06_03_804 1576080363804 18165 18122 200 98.9859  
2019_12_11_10_06_03_863 1576080363863 18224 18181 796 392.83  
2019_12_11_10_06_03_887 1576080363887 18248 18205 628 308.938  
2019_12_11_10_06_03_918 1576080363918 18279 18236 977 484.147  
2019_12_11_10_06_03_956 1576080363956 18317 18274 418 205.247  
2019_12_11_10_06_03_959 1576080363959 18320 18277 316 155.354  
2019_12_11_10_06_03_981 1576080363981 18342 18299 262 129.064  
2019_12_11_10_06_04_020 1576080364020 18381 18337 159 79.1579  
2019_12_11_10_06_04_034 1576080364034 18395 18351 497 244.102  
2019_12_11_10_06_04_044 1576080364044 18405 18361 672 330.829  
2019_12_11_10_06_04_080 1576080364080 18441 18397 118 59.3797  
2019_12_11_10_06_04_118 1576080364118 18479 18435 253 124.691  
2019_12_11_10_06_04_142 1576080364142 18503 18459 608 299.007  
2019_12_11_10_06_04_150 1576080364150 18511 18467 63 32.926  
2019_12_11_10_06_04_181 1576080364181 18542 18498 752 370.777  
2019_12_11_10_06_04_217 1576080364217 18578 18534 244 120.32  
2019_12_11_10_06_04_228 1576080364228 18589 18545 275 135.385  
2019_12_11_10_06_04_237 1576080364237 18598 18554 253 124.691  
2019_12_11_10_06_04_261 1576080364261 18622 18578 108 54.5633  
2019_12_11_10_06_04_317 1576080364317 18678 18634 251 123.719  
2019_12_11_10_06_04_339 1576080364339 18700 18656 274 134.899  
2019_12_11_10_06_04_351 1576080364351 18712 18668 152 75.7777  
2019_12_11_10_06_04_641 1576080364641 19002 18958 177 87.8568  
2019_12_11_10_06_04_642 1576080364642 19003 18959 543 266.811  
2019_12_11_10_06_04_643 1576080364643 19004 18959 121 60.8252  
2019_12_11_10_06_04_643 1576080364643 19004 18959 519 254.955  
2019_12_11_10_06_04_644 1576080364644 19005 18960 489 240.159  
2019_12_11_10_06_04_644 1576080364644 19005 18960 364 178.795  
2019_12_11_10_06_04_656 1576080364656 19017 18972 2294 1177.76  
2019_12_11_10_06_04_702 1576080364702 19063 19018 319 156.817  
2019_12_11_10_06_04_754 1576080364754 19115 19070 608 299.007  
2019_12_11_10_06_04_755 1576080364755 19116 19071 158 78.675  
2019_12_11_10_06_04_778 1576080364778 19139 19094 756 372.78  
2019_12_11_10_06_04_819 1576080364819 19180 19135 100 50.7123  
2019_12_11_10_06_04_828 1576080364828 19189 19144 658 323.858  
2019_12_11_10_06_04_887 1576080364887 19248 19203 131 65.6455  
2019_12_11_10_06_04_909 1576080364909 19270 19225 2054 1047.54  
2019_12_11_10_06_04_912 1576080364912 19273 19228 421 206.719  
2019_12_11_10_06_04_914 1576080364914 19275 19230 261 128.578  
2019_12_11_10_06_04_954 1576080364954 19315 19270 328 161.208  
2019_12_11_10_06_04_956 1576080364956 19317 19272 207 102.376  
2019_12_11_10_06_05_000 1576080365000 19361 19316 1215 605.696  
2019_12_11_10_06_05_078 1576080365078 19439 19393 250 123.234  
2019_12_11_10_06_05_094 1576080365094 19455 19409 1334 667.099  
2019_12_11_10_06_05_117 1576080365117 19478 19432 900 445.181  
2019_12_11_10_06_05_118 1576080365118 19479 19433 247 121.777  
2019_12_11_10_06_05_125 1576080365125 19486 19440 142 70.9512  
2019_12_11_10_06_05_126 1576080365126 19487 19441 755 372.279  
2019_12_11_10_06_05_138 1576080365138 19499 19453 166 82.5397  
2019_12_11_10_06_05_141 1576080365141 19502 19456 155 77.2262  
2019_12_11_10_06_05_187 1576080365187 19548 19502 570 280.169  
2019_12_11_10_06_05_212 1576080365212 19573 19527 302 148.53  
2019_12_11_10_06_05_213 1576080365213 19574 19528 428 210.155  
2019_12_11_10_06_05_228 1576080365228 19589 19543 312 153.403  
2019_12_11_10_06_05_257 1576080365257 19618 19572 369 181.24  
2019_12_11_10_06_05_267 1576080365267 19628 19582 325 159.744  
2019_12_11_10_06_05_268 1576080365268 19629 19583 470 230.802  
2019_12_11_10_06_05_305 1576080365305 19666 19620 183 90.7585  
2019_12_11_10_06_05_522 1576080365522 19883 19837 151 75.2949  
2019_12_11_10_06_05_547 1576080365547 19908 19861 362 177.817  
2019_12_11_10_06_05_569 1576080365569 19930 19883 704 346.786  
2019_12_11_10_06_05_584 1576080365584 19945 19898 275 135.385  
2019_12_11_10_06_05_655 1576080365655 20016 19969 452 221.947  
2019_12_11_10_06_05_667 1576080365667 20028 19981 513 251.993  
2019_12_11_10_06_05_682 1576080365682 20043 19996 343 168.531  
2019_12_11_10_06_05_704 1576080365704 20065 20018 460 225.881  
2019_12_11_10_06_05_734 1576080365734 20095 20048 266 131.008  
2019_12_11_10_06_05_736 1576080365736 20097 20050 298 146.581  
2019_12_11_10_06_05_739 1576080365739 20100 20053 277 136.358  
2019_12_11_10_06_05_742 1576080365742 20103 20056 247 121.777  
2019_12_11_10_06_05_782 1576080365782 20143 20096 315 154.866  
2019_12_11_10_06_05_806 1576080365806 20167 20120 535 262.857  
2019_12_11_10_06_05_854 1576080365854 20215 20168 417 204.757  
2019_12_11_10_06_05_877 1576080365877 20238 20191 151 75.2949  
2019_12_11_10_06_05_881 1576080365881 20242 20195 228 112.555  
2019_12_11_10_06_05_896 1576080365896 20257 20210 130 65.1633  
2019_12_11_10_06_05_913 1576080365913 20274 20226 215 106.252  
2019_12_11_10_06_05_931 1576080365931 20292 20244 593 291.566  
2019_12_11_10_06_05_934 1576080365934 20295 20247 405 198.871  
2019_12_11_10_06_05_944 1576080365944 20305 20257 109 55.0448  
